sku,type,name,url,url_image
2630,,Óculos de Grau Adidas A879 50 6060 - Tamanho 50,https://www.MinhaOticaOnline.com.br/produto/oculos-de-grau-adidas-a879-50-6060-tamanho-50-68578,https://OneLens.fbitsstatic.net/img/p/259422/oculos-de-grau-adidas-a879-50-6060-tamanho-50-68578/259422.jpg?w=800&h=800
2631,,Óculos de Grau Adidas A881 40 6050 - Tamanho 50,https://www.MinhaOticaOnline.com.br/produto/oculos-de-grau-adidas-a881-40-6050-tamanho-50-68579,https://OneLens.fbitsstatic.net/img/p/259423/oculos-de-grau-adidas-a881-40-6050-tamanho-50-68579/259423.jpg?w=800&h=800
2633,,Óculos de Grau Adidas A882 60 6054 - Tamanho 52,https://www.MinhaOticaOnline.com.br/produto/oculos-de-grau-adidas-a882-60-6054-tamanho-52-68581,https://OneLens.fbitsstatic.net/img/p/259425/oculos-de-grau-adidas-a882-60-6054-tamanho-52-68581/259425.jpg?w=800&h=800
2634,,Óculos de Grau Adidas A883 10 6051 - Tamanho 53,https://www.MinhaOticaOnline.com.br/produto/oculos-de-grau-adidas-a883-10-6051-tamanho-53-68582,https://OneLens.fbitsstatic.net/img/p/259426/oculos-de-grau-adidas-a883-10-6051-tamanho-53-68582/259426.jpg?w=800&h=800
2635,,Óculos de Grau Adidas A883 10 6052 - Tamanho 53,https://www.MinhaOticaOnline.com.br/produto/oculos-de-grau-adidas-a883-10-6052-tamanho-53-68583,https://OneLens.fbitsstatic.net/img/p/259427/oculos-de-grau-adidas-a883-10-6052-tamanho-53-68583/259427.jpg?w=800&h=800
2636,,Óculos de Grau Adidas A971 40 6055 48,https://www.MinhaOticaOnline.com.br/produto/oculos-de-grau-adidas-a971-40-6055-48-68584,https://OneLens.fbitsstatic.net/img/p/259428/oculos-de-grau-adidas-a971-40-6055-48-68584/259428.jpg?w=800&h=800
2104,,Óculos de Grau Carrera 6175 THP,https://www.MinhaOticaOnline.com.br/produto/oculos-de-grau-carrera-6175-thp-68585,https://OneLens.fbitsstatic.net/img/p/259429/oculos-de-grau-carrera-6175-thp-68585/259429.jpg?w=800&h=800
2106,,Óculos de Grau Carrera 6167 NQ9,https://www.MinhaOticaOnline.com.br/produto/oculos-de-grau-carrera-6167-nq9-68586,https://OneLens.fbitsstatic.net/img/p/259430/oculos-de-grau-carrera-6167-nq9-68586/259430.jpg?w=800&h=800
2107,,Óculos de Grau Carrera 7569 WZO,https://www.MinhaOticaOnline.com.br/produto/oculos-de-grau-carrera-7569-wzo-68587,https://OneLens.fbitsstatic.net/img/p/259431/oculos-de-grau-carrera-7569-wzo-68587/259431.jpg?w=800&h=800
2567,,Óculos de Grau Carrera 5503 UJM,https://www.MinhaOticaOnline.com.br/produto/oculos-de-grau-carrera-5503-ujm-68588,https://OneLens.fbitsstatic.net/img/p/259432/oculos-de-grau-carrera-5503-ujm-68588/259432.jpg?w=800&h=800
